Curso;Área;URL da página
Técnico em Administração;Gestão e Negócios;https://SEU-DOMINIO/cursos/tecnico-em-administracao/
Técnico em Contabilidade;Gestão e Negócios;https://SEU-DOMINIO/cursos/tecnico-em-contabilidade/
Técnico em Logística;Gestão e Negócios;https://SEU-DOMINIO/cursos/tecnico-em-logistica/
Técnico em Secretaria Escolar;Gestão e Negócios;https://SEU-DOMINIO/cursos/tecnico-em-secretaria-escolar/
Técnico em Transações Imobiliárias;Gestão e Negócios;https://SEU-DOMINIO/cursos/tecnico-em-transacoes-imobiliarias/
Técnico em Desenvolvimento de Sistemas;Informação e Comunicação;https://SEU-DOMINIO/cursos/tecnico-em-desenvolvimento-de-sistemas/
Técnico em Informática para Internet;Informação e Comunicação;https://SEU-DOMINIO/cursos/tecnico-em-informatica-para-internet/
Técnico em Automação Industrial;Controle e Processos Industriais;https://SEU-DOMINIO/cursos/tecnico-em-automacao-industrial/
Técnico em Eletromecânica;Controle e Processos Industriais;https://SEU-DOMINIO/cursos/tecnico-em-eletromecanica/
Técnico em Eletrotécnica;Controle e Processos Industriais;https://SEU-DOMINIO/cursos/tecnico-em-eletrotecnica/
Técnico em Manutenção de Máquinas Navais;Controle e Processos Industriais;https://SEU-DOMINIO/cursos/tecnico-em-manutencao-de-maquinas-navais/
Técnico em Refrigeração e Climatização;Controle e Processos Industriais;https://SEU-DOMINIO/cursos/tecnico-em-refrigeracao-e-climatizacao/
Técnico em Soldagem;Controle e Processos Industriais;https://SEU-DOMINIO/cursos/tecnico-em-soldagem/
Técnico em Edificações;Infraestrutura;https://SEU-DOMINIO/cursos/tecnico-em-edificacoes/
Técnico em Design de Interiores;Infraestrutura;https://SEU-DOMINIO/cursos/tecnico-em-design-de-interiores/
Técnico em Tradução e Interpretação de Libras;Desenvolvimento Educacional e Social;https://SEU-DOMINIO/cursos/tecnico-em-traducao-e-interpretacao-de-libras/
Técnico em Estética;Ambiente e Saúde;https://SEU-DOMINIO/cursos/tecnico-em-estetica/
Técnico em Farmácia;Ambiente e Saúde;https://SEU-DOMINIO/cursos/tecnico-em-farmacia/
Técnico em Gerência em Saúde;Ambiente e Saúde;https://SEU-DOMINIO/cursos/tecnico-em-gerencia-em-saude/
Técnico em Nutrição e Dietética;Ambiente e Saúde;https://SEU-DOMINIO/cursos/tecnico-em-nutricao-e-dietetica/
Técnico em Óptica;Ambiente e Saúde;https://SEU-DOMINIO/cursos/tecnico-em-optica/
Técnico em Mineração;Recursos Naturais;https://SEU-DOMINIO/cursos/tecnico-em-mineracao/
Técnico em Guia de Turismo;Turismo, Hospitalidade e Lazer;https://SEU-DOMINIO/cursos/tecnico-em-guia-de-turismo/
Técnico em Defesa Civil;Segurança;https://SEU-DOMINIO/cursos/tecnico-em-defesa-civil/
Técnico em Trânsito;Transporte;https://SEU-DOMINIO/cursos/tecnico-em-transito/
